id,title,url,upload_date,duration,view_count,description,thumbnail
S4UsYbQt4Gk,Build your STEM talent pipeline and get a rebate to do it!,https://www.youtube.com/watch?v=S4UsYbQt4Gk,,3297.0,,,https://i.ytimg.com/vi/S4UsYbQt4Gk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBfYOAcUAfBq4xRN6Q2_pfrFp6l8g
NfcUeloyntA,Building A Business that Does Not Burn You Out,https://www.youtube.com/watch?v=NfcUeloyntA,,2586.0,,,https://i.ytimg.com/vi/NfcUeloyntA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB-RqdWY4H7Z1lkDKF6mk37q-RgCA
lGgBRhb1N88,PR on a Startup Budget,https://www.youtube.com/watch?v=lGgBRhb1N88,,3163.0,,,https://i.ytimg.com/vi/lGgBRhb1N88/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBTp6GzKc7t7OrOzBmo-gsFKgTdig
1BxChT8YLHA,Piecing Together the Talent Puzzle - 4 Truths About Finding and Keeping Talent,https://www.youtube.com/watch?v=1BxChT8YLHA,,2632.0,,,https://i.ytimg.com/vi/1BxChT8YLHA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD9OOo10P3imT5icKV3N37lG5fDvw
LEQM9TyaEm0,Minnesota: An Optical Place to Build and Grow In Technology,https://www.youtube.com/watch?v=LEQM9TyaEm0,,637.0,,,https://i.ytimg.com/vi/LEQM9TyaEm0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBRsw1QsnZ0GFy8bESAxfE0xiGoiQ
hL6elm7wQfc,Diversity and Inclusion Drives Innovation,https://www.youtube.com/watch?v=hL6elm7wQfc,,3181.0,,,https://i.ytimg.com/vi/hL6elm7wQfc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBdsBizwoYCFPImNY0pNlyt3dngMA
dnnepworZRg,Building the Table,https://www.youtube.com/watch?v=dnnepworZRg,,3064.0,,,https://i.ytimg.com/vi/dnnepworZRg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC00FBm0GQFqWd_542D8gIWpz7pqQ
OCwheQQ8hQc,Creating an Irresistible Consumer Product,https://www.youtube.com/watch?v=OCwheQQ8hQc,,3161.0,,,https://i.ytimg.com/vi/OCwheQQ8hQc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCltXxPjHpIdyI1YMowLtG0e2giAA
NeSzelhxvUw,Impact Measurement: A 360 View of Concept and Importance,https://www.youtube.com/watch?v=NeSzelhxvUw,,2974.0,,,https://i.ytimg.com/vi/NeSzelhxvUw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBhzE0Vm9t7W4_0JXJsqm-xglbAVA
ZSkX2X-ZUWc,Intellectual Property: Patents,https://www.youtube.com/watch?v=ZSkX2X-ZUWc,,3523.0,,,https://i.ytimg.com/vi/ZSkX2X-ZUWc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCgkLgEAP1wI1q1jghaesLpwAFwEA
wxYpv-H_7nk,Lessons from TikTok: Why micro-lessons are changing everything,https://www.youtube.com/watch?v=wxYpv-H_7nk,,2214.0,,,https://i.ytimg.com/vi/wxYpv-H_7nk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAQTYf9Ze7zR-qn9ibn9btwzmVIXA
X7FvUAC_DBc,Removing Risk When Developing Your Digital Product,https://www.youtube.com/watch?v=X7FvUAC_DBc,,2566.0,,,https://i.ytimg.com/vi/X7FvUAC_DBc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCVulcJWBMjNTT5_P--gqRlcfjvog
OhLRBk9wz3w,The Metaverse: NOW,https://www.youtube.com/watch?v=OhLRBk9wz3w,,3599.0,,,https://i.ytimg.com/vi/OhLRBk9wz3w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDW43mKk1lOQb6Yp6ax0DApjeM8zA
_N1RAcjPNZw,How to build an award-winning product without raising venture capital,https://www.youtube.com/watch?v=_N1RAcjPNZw,,3264.0,,,https://i.ytimg.com/vi/_N1RAcjPNZw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCUD2HGR1azp5gzarziway61b_KCw
uc3FxTisWfw,Developing an Equitable Startup Ecosystem,https://www.youtube.com/watch?v=uc3FxTisWfw,,2628.0,,,https://i.ytimg.com/vi/uc3FxTisWfw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD2KXOSD3JehSR40EFvLMGeXqEaQw
K8Ltc9BzuZY,Designing Your DEI Culture to Attract Top Talent!,https://www.youtube.com/watch?v=K8Ltc9BzuZY,,3282.0,,,https://i.ytimg.com/vi/K8Ltc9BzuZY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDzY2yG2-aZx6aRrFzRBy_UD58hgg
MMi90tcouNY,Zero to One with Mobile: What You Need to Know Before Bringing Your First Mobile App to Market,https://www.youtube.com/watch?v=MMi90tcouNY,,3278.0,,,https://i.ytimg.com/vi/MMi90tcouNY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCtgccsgLd201njSR0WS47AYhJApw
MeWS5T6Oh-8,"Getting Past ""Imposter Syndrome""",https://www.youtube.com/watch?v=MeWS5T6Oh-8,,2373.0,,,https://i.ytimg.com/vi/MeWS5T6Oh-8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCqayPqC6xLhMjFgxg4CU71LTohXw
hzB02-RTC0A,"How to Take Fortune 500 S&M Strategies, Scale Them to Your Business to Achieve the Same Results",https://www.youtube.com/watch?v=hzB02-RTC0A,,2371.0,,,https://i.ytimg.com/vi/hzB02-RTC0A/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDI8q816Jw-7j1x53-K_El269U7bg
fq2FKan-_YE,Courageous Conversations: Common Mistakes and Uncommon Strategies,https://www.youtube.com/watch?v=fq2FKan-_YE,,2521.0,,,https://i.ytimg.com/vi/fq2FKan-_YE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAamqgI1LGLELjOmd876bCQn1XDrg
y-xISt1prNQ,Amplify - Our Collective Stories,https://www.youtube.com/watch?v=y-xISt1prNQ,,3705.0,,,https://i.ytimg.com/vi/y-xISt1prNQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD29ksO0swcJDxJTzf4Ipo16fo0hg
s-ngT4nbc3Y,A conversation with Felecia Hatcher presented by Knight Foundation,https://www.youtube.com/watch?v=s-ngT4nbc3Y,,3438.0,,,https://i.ytimg.com/vi/s-ngT4nbc3Y/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBW25x4Gxvw4bOzA03JmeCDD-NU8g
sWibxJDNFEU,How to pitch the Fortune 500,https://www.youtube.com/watch?v=sWibxJDNFEU,,3674.0,,,https://i.ytimg.com/vi/sWibxJDNFEU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBcyc-QRjmCrHkrXCtaQZ-6k4z3lA
MA21GqEH0qY,How to Strike the Perfect Pitch,https://www.youtube.com/watch?v=MA21GqEH0qY,,3734.0,,,https://i.ytimg.com/vi/MA21GqEH0qY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAWeZAa2DlGdtkOoRzeCKjYIzc0pw
KuVJNq5srGU,Best Practices for Scaling a Culture of DI&B: Convo with Beta.mn and HubSpot,https://www.youtube.com/watch?v=KuVJNq5srGU,,3707.0,,,https://i.ytimg.com/vi/KuVJNq5srGU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBCmykvDA_u-aGzlHVRIOxp8SKNCw
