name,years_active,session_count,companies,roles,sample_sessions,avatar_url,email,linkedin,twitter,notes
avatar for Ali Shirvani-Mahdavi,2023,1,,,"Data, Health, and Community",//avatars.sched.co/9/83/19172649/avatar.jpg?5be,,,,
avatar for Alice Roberts Davis,2018,1,State of MN,,The Advantages of Being at a Disadvantage: An Inside Look how Small Businesses c,//avatars.sched.co/2/76/5912820/avatar.jpg?61a,,,,
avatar for Alicia Sojuorner,2018,1,"City of St. Louis ParkAlicia is a self-proclaimed hip-hop purist and racial equity advocate in that order. Currently, Alicia is the first Racial Equity Manager at the City of St Louis Park. They are driven by supporting opportunities to capitalize on innovative practices within organizations that improve...Read More →",,Keeping the Diverse in IT: A Lesson in Employee Retention *External Ticket Requi,//avatars.sched.co/5/35/6166234/avatar.jpg?87c,,,,
avatar for Allianz (Host),2018,1,,,Pitchfest in the Midwest *External Registration Required*,//avatars.sched.co/6/ba/6078061/avatar.jpg?d09,,,,
avatar for Allina (Host),2018,1,,,Digital Innovation at a Health System,//avatars.sched.co/8/ee/6077962/avatar.jpg?273,,,,
avatar for Allison Kaplan,2018,1,Twin Cities Business,,Lola Red Presents How Media is Changing,//avatars.sched.co/0/ea/5912792/avatar.jpg?a77,,,,
avatar for Allison McMenimen,2018,1,"Client Services, Nina Hale, Inc.The face of Nina Hale’s client strategy team, Allison McMenimen is a force constantly propelling the agency forward. She is the linchpin of Nina Hale, and her strategic guidance has helped take the agency from a 10-person shop to an 85-person performance digital powerhouse.A 2016 32 Under 32 award recipient, Allison’s ability to listen, understand, and anticipate client needs has garnered unbelievable results – think triple-digit revenue growth since she joined the team in 2010. And, she not only encourages positivity and results but also serves the...Read More →",,Growing Startup Cultures in Marketing and Sales,//avatars.sched.co/3/bd/5941410/avatar.jpg?42b,,,,
avatar for Aluminate,2018,1,,,MacGo Night,//avatars.sched.co/f/05/5912234/avatar.jpg?94b,,,,
avatar for Alysha Price,2023,4,The Price Dynamic,,How to Start a Social Enterprise from 5 Years of FINN Fellows; How to Start a Social Enterprise from 5 Years of FINN Fellows; How to Start a Social Enterprise from 5 Years of FINN Fellows,//avatars.sched.co/5/fb/18122463/avatar.jpg?cfb,,,,
avatar for Amanda Heyman,2018,1,Starting11,,Venture-Scale Apps: A Panel of MN's Funded Mobile-Centric Startups,//avatars.sched.co/2/f0/5916006/avatar.jpg?010,,,,
