name,years_active,session_count,companies,roles,sample_sessions,avatar_url,email,linkedin,twitter,notes
avatar for Jeffrey Robbins,2023,6,JPMorgan | Jeff has represented entrepreneurs who start and grow technology-based enterprises and angel and venture investors who target those companies. Clients seek his assistance in strategic business plan development; entity selection and formation; private and public...Read More →,,Preparing Your Startup For Investment; Preparing Your Startup For Investment; Preparing Your Startup For Investment,//avatars.sched.co/9/22/9167212/avatar.jpg?f09,,,,
avatar for Jen Gilhoi,"2018, 2023",2,"Sparktrack ConsultingAs a Twin Cities-based communications strategist for 20 years, Jen has held various marketing roles in agencies, corporations, associations and her own 2012 start-up, SparkTrack Consulting. She lives where in-person and online communications connect through community and conversation...Read More → | Zero Proof CollectiveI am an event experience strategist and founder of Sparktrack (2012); a board member of Dissonance, an organization that promotes mental health and recovery; co-founder of Zero Proof Collective, whose mission is to elevate nonalcohol options in social spaces; and a TEDx Speaker on...Read More →",,Voice Is The New Playground For Brands; Navigating Nonalcoholic Bevs: A TEDx Talk and Tasting,//avatars.sched.co/b/b6/5914777/avatar.jpg?01f,,,,
avatar for Jen Reise,2023,4,"K8Bisch | North Star Law Group | North Star Law GroupJen Randolph Reise is a transactional business attorney and entrepreneur. She leads the Business and Cannabis Law groups at North Star Law in St. Paul, Minnesota, where she advises business owners on formation, equity arrangements, regulatory compliance, and other corporate issues...Read More →",,Launching a Cannabis Business in Minnesota; Navigating Minnesota's New Cannabis Laws; Navigating Minnesota's New Cannabis Laws,//avatars.sched.co/d/f3/19029731/avatar.jpg?433,,,,
avatar for Jen Wagner-Lahr (Moderator),2018,1,"AURIAs Senior Director of Innovation & Commercialization, Jennifer Wagner-Lahr oversees projects in partnership with Agricultural Utilization Research Institute (AURI) staff members, commodity groups, state and federal agencies, and other collaborators and stakeholders that fulfill the...Read More →",,You Are What You Eat: The Nexus of Food & Health - Morning Session *External Tic,//avatars.sched.co/c/06/6179794/avatar.jpg?1b8,,,,
avatar for Jennifer Breen,2018,2,"The Earl Bakken Center for Spirituality and HealingJennifer Breen is a culinary nutritionist. She uses cooking education to address the issues of sustainability, justice, well being, and public and personal health. Breen is both a professional chef with over 20 years in the food industry and a Public Health nutrition educator (MPH...Read More →",,You Are What You Eat: The Nexus of Food & Health - Morning Session *External Tic; You Are What You Eat: The Nexus of Food & Health - Afternoon Session *External T,//avatars.sched.co/1/0d/5977777/avatar.jpg?6c1,,,,
avatar for Jennifer Pennington,2018,1,"CEO, Firecrack & Ringleader, Can Can Wonderland",,Leading With Purpose: Exploring Business Structures for Mission-Driven Companies,//avatars.sched.co/c/d8/5950702/avatar.jpg?298,,,,
avatar for Jennifer Wagner Lahr,2018,1,AURI,,"Hemp, MN, and the Creation of a New Industry - Food Ag Ideas Week *External Regi",//avatars.sched.co/5/e6/5974804/avatar.jpg?1fe,,,,
avatar for Jennifer Zick,2018,1,Authentic BrandFounder of Authentic Brand: Fractional Marketing Leadership | Strategy & Planning | Brand & Messaging. Uniquely equipped to support businesses powered by EOS / Traction. Jennifer Zick is a passionate and driven leader with nearly 20 years of B2B marketing experience in innovative...Read More →,,"The Lifecycle of a Brand: Building Stories that Start, Scale, Sustain, and Sell ",//avatars.sched.co/2/bc/4475688/avatar.jpg?83c,,,,
avatar for Jessi Howard,2023,1,"Rally VenturesJessi Howard has 20 years of experience in Human Resources, and she has spent the majority of her career in the technology industry.As Rally Ventures’ Chief People Officer, Jessi leads the firm’s HR practice and operates as the Fractional Chief People Officer for Rally portfolio companies, providing strategic guidance and tactical support around expanding and supporting their teams. Prior to joining Rally...Read More →",,Founders' Guide to HR & People Ops: What You Need and When,//avatars.sched.co/1/d4/19184783/avatar.jpg?655,,,,
avatar for Jim Dawson,2018,1,,,The Best Product You've Never Heard of . . . How to get your Story out in the Ch,//avatars.sched.co/6/8d/5920091/avatar.jpg?f66,,,,
avatar for Jim Moar,2023,1,MESA (Minnesota Emerging Software Association)MESA's mission is to make Minnesota’s software community among the most vibrant by providing C-level pro bono mentoring for CEOs of startup and emerging growth software companies.,,Critical Entrepreneur Teaching Points Learned from Mentoring 75 Software Startup,//avatars.sched.co/1/aa/9275982/avatar.jpg?291,,,,
avatar for Jim Zitek,2018,1,Harbor Capital Group,,Mentor Morning,//avatars.sched.co/2/f8/5914761/avatar.jpg?76e,,,,
avatar for Jodi Plomedahl,2018,1,"HealthFactorsJodi serves as vice president of client services at HealthFactors in Minneapolis, MN. In this role, she leads product solutions strategy and technology management for the clients and partners. Jodi has held leadership positions in service link planning, implementation ant IT strategy...Read More →",,Building Light Weight Connected Environments – Quick and Easy Ways to Enable Cos,//avatars.sched.co/1/e9/5916029/avatar.jpg?1f4,,,,
avatar for Joe Lynyak,2018,1,"Dorsey and WhitneyJoe is a partner in the Firm’s Finance & Restructuring Group and a member of the Banking Industry Group. He practices in both the Firm’s Washington, D.C. and Southern California offices. Joe possesses a broad knowledge base regarding foreign banks and domestic banks, savings associations...Read More →",,Regulatory Climate & Legal Considerations for Growing FinTech Companies: Current,//avatars.sched.co/4/6f/5977438/avatar.jpg?530,,,,
avatar for Joe Warner,2023,1,"AIMCLEARJoe Warner is an Information Technology professional who has dedicated his career to developing and managing innovative business technology solutions. Joe focuses on aligning marketing technology solutions with business strategy in a way that maximizes resources, improves performance...Read More →",,Establishing Your Web Presence,//avatars.sched.co/b/32/19173042/avatar.jpg?42a,,,,
avatar for John Arms,2023,2,no one knows how to do it. Five years ago I slashed my way into the Fractional jungle and found the proverbial treasure (A reliable Fractional career) Since then I have been teaching others how to get into...Read More →,,Fractional Talent for Startups; Fractional Talent for Startups,//avatars.sched.co/3/6e/19179663/avatar.jpg?f3a,,,,
avatar for John Doyle,2018,1,"Colle McVoyJohn Doyle thrives on helping brands make the most sense of today’s complex world and use that understanding to develop an advantage over the competition. As executive director of brand experience, Doyle is responsible for the development and creation of cohesive brand experiences...Read More →",,Growing Startup Cultures in Marketing and Sales,//avatars.sched.co/a/40/5941413/avatar.jpg?15a,,,,
avatar for John Fritz,2018,1,Venture Bank,,How to Finance Your Startup,//avatars.sched.co/5/5e/5914820/avatar.jpg?eb7,,,,
avatar for John Strohfus,2018,1,"Minnesota Hemp Farms, Inc.",,"Hemp, MN, and the Creation of a New Industry - Food Ag Ideas Week *External Regi",//avatars.sched.co/b/60/5974822/avatar.jpg?41e,,,,
avatar for Jolly Nanda,2023,1,Altheia IncInnovationAI in healthcareDriving Sustainable Change,,"Mastering Brand Communication: Strategies for Attracting, Hiring, and Nurturing ",//avatars.sched.co/b/1c/19172157/avatar.jpg?981,,,,
avatar for Jon Stechmann,2018,1,"Fox Rothschild LLPJon represents both emerging and established businesses--particularly technology companies--in financing, technology-related transactions and corporate governance matters.",,Protecting Your IP and Preparing for Financing,//avatars.sched.co/4/73/5915966/avatar.jpg?110,,,,
avatar for Jonathan Banks,2023,3,"NCXTJonathan's 20 years of assisting organizations with people and technology change spans startups, Fortune 500, and non-profit organizations across the healthcare, science, government, and finance sectors. His passion for elevating and understanding people's desire for a better tomorrow...Read More →",,"Confronting Climate Change with Leading Edge, Sustainable Housing Development; Confronting Climate Change with Leading Edge, Sustainable Housing Development; Show up for your startup - diversity and inclusion fueling innovation",//avatars.sched.co/0/26/9167359/avatar.jpg?7ab,,,,
avatar for Josef Siebert,2018,1,Great North Labs/SingularityU Minneapolis-St. Paul,,Great North Labs Startup Ecosystem Talk and Pre-TedX Happy Hour,//avatars.sched.co/b/ec/5610349/avatar.jpg?638,,,,
avatar for Joseph Schlichting,2018,2,"New LionAs a CMO, COO, CEO and Consultant, Joseph has worked with more than 100 startups on: finding product-market fit, brand positioning, pricing new products, launch + go-to-market strategies, identifying new marketing channels through rapid channel testing, growth modeling, scaling marketing...Read More →",,Low-Cost Validation: What We've Learned From Helping 100+ Startups; Clustering the Twin Cities creative economy and innovation ecosystem along the G,//avatars.sched.co/7/f2/5912799/avatar.jpg?70b,,,,
avatar for Josh Becerra,2018,1,Fluid,,Smart Strategies to Start a Product-Focused Business,//avatars.sched.co/f/ce/5916033/avatar.jpg?904,,,,
avatar for Josh Cutler,2018,1,Rambl,,Why AI is a Competitive Advantage in a Startup's Tech Stack,//avatars.sched.co/a/60/6022843/avatar.jpg?976,,,,
avatar for Josh Susser,2018,1,"Cascadily LLC (formerly VP Strategy Corp. Dev. at ECMC Group)Josh has invested in several of the most successful education companies, including SoFi and Meritize. He now focuses on sourcing acquisitions and investments for investors and entrepreneurs in the education industry.",,What's Happening with Recent Edtech Exits?,//avatars.sched.co/7/73/6316048/avatar.jpg?7bf,,,,
avatar for Josiah Gulden,2018,1,Livefront,,Venture-Scale Apps: A Panel of MN's Funded Mobile-Centric Startups,//avatars.sched.co/9/57/5916004/avatar.jpg?ac8,,,,
avatar for Jot,2018,1,Jot allows writers regularly to submit a few sentences to a paragraph for critique from a global online circle or within...Read More →,,MacGo Night,//avatars.sched.co/9/a3/5915957/avatar.jpg?268,,,,
avatar for Joy Lindsay,2018,1,Sofia Fund,,Office Hours with Sofia Fund *External Registration Required*,//avatars.sched.co/9/8d/5946018/avatar.jpg?375,,,,
avatar for Julie Kearns,2018,1,Junket: Tossed and Found,,The Power and Promise of a ReUSE Economy,//avatars.sched.co/5/8c/5915979/avatar.jpg?b17,,,,
avatar for Julie Kucinski,2018,2,"PitchwellPitching is an art, a skill and a drug. I've led and closely consulted on pitches that have helped land millions in funding, new sale channels, major client accounts, project greenlights and corporate acquisitions.Clients have landed immediate 8-figure contracts, quickly signed...Read More →",,"Perfect your Pitch: Nail your Story, your Deck, and your Delivery *External Regi; 5 Common Pitch Mistakes - And What to Do Instead",//avatars.sched.co/e/8f/5804376/avatar.jpg?b13,,,,
avatar for Julie Lein,2018,3,"Urban Innovation FundJulie Lein, Managing Partner, Urban Innovation Fund Julie is a co-founder and Managing Partner of the Urban Innovation Fund, a venture capital firm that invests in the future of cities. The fund provides seed capital and regulatory support to entrepreneurs solving our toughest urban...Read More → | Urban Innovation FundJulie is a co-founder and Managing Partner of the Urban Innovation Fund, a venture capital firm that invests in the future of cities. The fund provides seed capital and regulatory support to entrepreneurs solving our toughest urban challenges – helping them grow into tomorrow’s...Read More →",,"By, For, With: Investing in Diversity; Venture capital 101: Confessions of a VC; Bunker Labs North Muster *External Registration Required*",//avatars.sched.co/e/93/5920727/avatar.jpg?ad4,,,,
avatar for Julie Scheife,2018,1,"Land O'LakesJulie oversees digital marketing and is responsible for building digital marketing capabilities to accelerate growth across all businesses for Land O’Lakes, Inc. She joined Land O’Lakes in 2016.Julie’s career has been focused on exploring, innovating and leading within the ever-evolving world of digital marketing. Working across corporate and agency roles, on some of the world’s most respected brands, from Target to ConAgra, from Subaru to Berkshire Hathaway. Finding...Read More →",,Growing Startup Cultures in Marketing and Sales,//avatars.sched.co/5/5b/5941401/avatar.jpg?01c,,,,
avatar for Julie Zhu,2018,1,"Optum Technology, UnitedHealth GroupHands on Data Science leader in Health Care Analytics with 18+ years experience of Advanced data analytics, machine learning, deep learning and Natural Language Processing , in-depth knowledge of Health Care data, business operations and health care products in vary health care areas...Read More →",,Why AI is a Competitive Advantage in a Startup's Tech Stack,//avatars.sched.co/d/b0/6180298/avatar.jpg?ea7,,,,
avatar for Jumi Kassim,2018,1,"Patterson Thuente IPJumi Kassim is a software engineer and patent attorney. She works with start-ups as well as some of the firm’s large corporate clients, helping them navigate the challenges of patenting software-related inventions and finding strategic ways to protect their intellectual property...Read More →",,Why Your Intellectual Property (IP) is Your Most Valuable Asset,//avatars.sched.co/b/e0/6331362/avatar.jpg?563,,,,
avatar for June Yoshinari Davis,2018,1,"CargillJune Yoshinari Davis is currently the Global Inclusion & Diversity Policies & Practices Leader at Cargill.  In this role, she identifies the best practices, policies, processes and systems needed to embed inclusion and diversity into the organization in sustainable and scalable ways...Read More →",,Keeping the Diverse in IT: A Lesson in Employee Retention *External Ticket Requi,//avatars.sched.co/9/9e/6166261/avatar.jpg?e0f,,,,
avatar for Justin Grammens,"2018, 2023",4,"Lab 651 | Lab651 | Lab651 & Applied AIHi! I'm Justin Grammens. I'm a lifelong learner, passionate about Software Development, Artificial Intelligence, and driven by giving back to the community through entrepreneurship and education.I'm the founder and CEO of Lab651, where we help companies successfully release software...Read More →",,Minimal Lovable Product; What Business Leaders Need to Know About Artificial Intelligence; What Business Leaders Need to Know About Artificial Intelligence,//avatars.sched.co/b/d3/5916022/avatar.jpg?c79,,,,
avatar for Justin Sundberg,2018,1,"Sundberg Tax & ConsultingJustin Sundberg is an innovative consultant who serves small and medium businesses. He started his firm because he believed most accounting firms were dated and not utilizing the latest rules to the fullest of their advantage.Justin’s background includes Big Four consulting firms, a Master’s Degree in Business Taxation from the Carlson School of Management, and enough varied experiences to give him a unique perspective in his 12 years of practice. He is currently in his 9th year of leading his own fir...Read More →",,$10 Million of Tax-Free Small Biz Income & Other Things You Should Know,//avatars.sched.co/5/b1/5912626/avatar.jpg?e03,,,,
avatar for Kablooe Design (Host),2018,1,,,Building Light Weight Connected Environments – Quick and Easy Ways to Enable Cos,//avatars.sched.co/5/df/6169093/avatar.jpg?732,,,,
avatar for Karl Battle,2018,1,"3MKarl began his career as a paratrooper in the United States Army, serving as an Intelligence Analyst in both the 82nd Airborne Division and European Command. Upon leaving the military Karl continued public service within local government in Minnesota, where he focused on advancing...Read More →",,Keeping the Diverse in IT: A Lesson in Employee Retention *External Ticket Requi,//avatars.sched.co/d/cb/6166237/avatar.jpg?7bc,,,,
avatar for Kate Bischoff,2018,1,"Speaker & HR Consultant, tHRive Law & Consulting LLCKate Bischoff is an overly enthusiastic, sarcastic, and opinionated management-side employment attorney and SHRM-SCP-certified HR pro.  She works closely with management and HR folk to improve organizations and make it easier to recruit and retain talent through having easy-to-understand...Read More →",,MH + HR: Guiding mental health conversations at work,//avatars.sched.co/f/c6/5956084/avatar.jpg?13f,,,,
avatar for Katharine Hill Contag,2023,1,Klaro CFO,,Building a Finance Team from Day One to Exit,//avatars.sched.co/8/1f/19180232/avatar.jpg?a2b,,,,
avatar for Kathryn Lukas,2018,1,Farmhouse Culture,,Building Mission Driven Brands - Food Ag Ideas Week *External Registration Requi,//avatars.sched.co/1/6b/5975047/avatar.jpg?c04,,,,
avatar for Katie Kelley,2018,1,"Client Services, Augeo MarketingKatie Kelley works with Augeo clients in various industries to solve marketing problems with creativity and strategic insight. She provides brand, product and marketing strategy support to clients ranging from Fortune 500 companies to emerging start-ups while leading a team of brand...Read More →",,"Engagement Marketing: What can we Learn from Pavlov, Maslow and Zuckerberg?",//avatars.sched.co/7/3f/5916049/avatar.jpg?538,,,,
avatar for Kelly Anderson,2023,1,"Crayon Kelly LLCKelly Anderson is an award winning International Artist with a strong focus on Community Engagement.  She leads a Minnesota based Creative Agency that works with Non Profits and For Profit companies Nation wide.  Their main areas of focus revolve around Art, Engagement, Technology...Read More →",,Using Augmented Reality with Creative Intentions,//avatars.sched.co/1/6b/9453009/avatar.jpg?dff,,,,
avatar for Kelly Schaefbauer,2023,1,"confidence, and trust. Structured Managerial-Leadership practices bring the clarity that aligns teams.",,Structure in Small Businesses,//avatars.sched.co/c/86/19172115/avatar.jpg?9ba,,,,
avatar for Ken Greer,2018,1,"Augeo MarketingKen Greer is a change agent, trend visionary, technology geek and creative spark. As Chief Marketing Officer of Augeo, he’s known as the “go to guy” for big ideas. Ken's one-of-a-kind combination of creative and strategic marketing skills has been the driving force behind the...Read More →",,"Engagement Marketing: What can we Learn from Pavlov, Maslow and Zuckerberg?",//avatars.sched.co/1/c7/5912615/avatar.jpg?e90,,,,
avatar for Ken McGinley,2018,1,"Customer Success, SportsEngineKen has been with SportsEngine since 2007. He originally led and grew the sales team before helping to establish and lead the customer success function in 2014. He is currently leading a team of 100 between account management and support. The team’s objectives are to maximize the...Read More →",,How to Measure Customer Success at Your Startup [Panel Discussion],//avatars.sched.co/2/e0/5982478/avatar.jpg?c8c,,,,
avatar for Kenya McKnight Ahad,2018,1,"Black Women’s Wealth AllianceKenya is an experienced executive recognized for innovation in community wealth building strategies, social impact and organizational effectiveness. She brings over 17 years of experience as a community economic development practitioner in the areas of micro business education and...Read More →",,"By, For, With: Investing in Diversity",//avatars.sched.co/c/07/6091921/avatar.jpg?7fd,,,,
avatar for Kerri Miller,2018,5,"FrameWork ConsultingMaggie Knoke is the founder and CEO of FrameWork Consulting, where she helps entrepreneur founders/visionaries and their leadership teams get unstuck at key pivot points through strategic and annual planning, talent management strategies and executive coaching. She has over 20 years...Read More → | MEND JewelryJordyn is the founder of MEND Jewelry.  She spent the last two years in the marketing / advertising world as a project manager and left last November after she secured venture capital in her jewelry business.  Jordyn is from a large Italian family (number five of seven), loves listening...Read More → | The CovenAlex is a Swiss Army Knife who knows how to raise humans and build Public Relations strategies for businesses, politicians, startups, and non-profits. The co-founder of The Coven, a community and work space for women and non-binary folks, Alex is dedicated to the empowerment and advancement...Read More →",,"The Time is Now! A conversation with Jeff Harmening, CEO and Chairman, General M; The Coven Presents: Getting Funded; The Coven Presents: Getting Funded",//avatars.sched.co/b/7e/5916010/avatar.jpg?68a,,,,
avatar for Kevin Henderson,2023,1,"Equity and Inclusion, UnitedHealth Group",,Show up for your startup - diversity and inclusion fueling innovation,//avatars.sched.co/5/e2/19314942/avatar.jpg?84e,,,,
avatar for Kevin McArdle,2023,1,Big Band SoftwareI am the Founding Partner and CEO of Big Band Software. We are a Software Holding Company that acquires and holds great B2B SaaS businesses for the long term.,,Annual Exit Planning for Founders,//avatars.sched.co/4/8f/19172385/avatar.jpg?738,,,,
avatar for Kim Lowe,2018,1,"Avisen LegalKim Lowe - Shareholder at Avisen Legal, P.AFor over 19 years Kim has lawyered from the trenches. She works with enterprises at all levels strategically moving goals and objectives to accomplishments. She provides strategic, legal and business advice at all levels of an organization -- from the line to the board room and back...Read More →",,Leading With Purpose: Exploring Business Structures for Mission-Driven Companies,//avatars.sched.co/b/b2/5912608/avatar.jpg?69c,,,,
avatar for Kitty Hart,2018,1,"StarKitty has spent the past 23 years creating successful brand relationships within advertising, multi-media, and experience design. Kitty excels at consulting with her clients and helping them understand and develop the fundamentals of strong brand design practices including strategy...Read More →",,The Story of Chuck & Don’s: How “Man’s Best Friend” Turned Friends into Entrepre,//avatars.sched.co/3/e1/5912589/avatar.jpg?180,,,,
avatar for Komal Khatri,2023,1,Optum,,Optum Cup Finals,//avatars.sched.co/9/bd/19292979/avatar.jpg?543,,,,
avatar for Kris Bauerschmidt,2023,3,"Prevailing MedicalKris is the co-founder, co-owner of Prevailing Medical a contract medical device R&D developer and manufacturer of interventional medical devices, specializing in catheter based medical devicees. Kris has worked in the Medical device industry for the past 15 years. Kris is also the...Read More →",,"Starting a Medical Device Company - Key Considerations; Networking 101, Putting Yourself Out There and Making a Difference; Twin Cities Medical Device Networking Group",//avatars.sched.co/a/e9/19179227/avatar.jpg?ba8,,,,
avatar for Kristin Dean,2018,1,"Arctic Wolf NetworksKristin Dean is currently the Vice President of People at Arctic Wolf Networks, a Silicon Valley based company with offices in California, Minnesota, Utah and Canada. Arctic Wolf Networks is a cybersecurity company that provides a Security Operation Center (SOC) as a service for midmarket...Read More →",,Scaling Company Culture as you and your Business Grow,//avatars.sched.co/5/e5/6202071/avatar.jpg?695,,,,
avatar for Kyle King,2018,2,including Cannon Technologies which successfully sold to Cooper...Read More →,,Raising capital: It can’t be that hard… Right?; Raising capital: It can’t be that hard… Right?,//avatars.sched.co/b/1b/6284205/avatar.jpg?59a,,,,
avatar for Kyle Simmons,2018,1,Launch & Land,,Voice Is The New Playground For Brands,//avatars.sched.co/7/04/8906914/avatar.jpg?410,,,,
avatar for Laina Latterner,2023,2,"Founder, The ViFi, LLCMy extensive experience across healthcare and physician education drives my passion to improve women's health for moms.  The ViFi is an online women's health hub that addresses the invisible barriers moms face when navigating the healthcare industry. We talk about the mental load...Read More →",,Female Founders & Caregiving; Female Founders & Caregiving,//avatars.sched.co/6/91/19032042/avatar.jpg?d53,,,,
avatar for Lana Nelson,2023,3,"Business Development, All In One Accounting",,Finance Lounge: Casual environment for tough questions; Finance Lounge: Casual environment for tough questions; Finance Lounge: Casual environment for tough questions,//avatars.sched.co/3/85/19269489/avatar.jpg?6cb,,,,
avatar for Land O'Lakes (Host),2018,1,,,Growing Startup Cultures in Marketing and Sales,//avatars.sched.co/a/fc/6169069/avatar.jpg?795,,,,
avatar for Lani Basa,2018,1,"Lead Facilitator, The Business Women's CitcleLani Basa is the CEO and Lead Facilitator for The Business Women’s Circle®. She helped to co-found the company with Myrna Marofsky in 2009 and became the owner of The BWC® in 2016. Her experience comes from over 22 years at Target Corporation where she was responsible for strategic...Read More →",,Entrepreneur Expo,//avatars.sched.co/9/46/6016297/avatar.jpg?839,,,,
avatar for Larissa Maranhao,2018,2,"BrexLarissa Maranhao was the first employee at Brex — the first of its kind credit card for startups. She was deeply involved in the early iterations of the company, working on everything from recruiting an international workforce to developing sales strategies, helping customers along...Read More →",,The importance of non-technical talent at a startup / How to Make an Impact as a; How to Capitalize on Missed Opportunities: Lessons from a Company Evaluated at $,//avatars.sched.co/5/61/6183094/avatar.jpg?3fa,,,,
avatar for Larry Fox,2018,2,"Avisen Legal, P.A.Larry Fox is an accomplished business lawyer with over 20 years of experience putting together deals and acting as a trusted adviser to his clients. He has represented a broad range of companies from startups to Fortune 500’s. Larry works on a wide variety of matters including complex...Read More →",,Tech Start-Ups: Getting the Legal Part Right; Minnesota Start-Up Darwin Lessons Part 2,//avatars.sched.co/e/f3/5912522/avatar.jpg?7ed,,,,
avatar for Laura Monn Ginsburg,2023,1,Apparatus GBC,,How to Create Systems Level Change as an Entrepreneur: Benefit your Business Thr,//avatars.sched.co/0/75/19197021/avatar.jpg?951,,,,
avatar for Lauren McGinty,2018,1,MN Craft Brewers Guild,,Ag Innovation and Craft Brewing - Food Ag Ideas Week *External Registration Requ,//avatars.sched.co/b/48/5975083/avatar.jpg?daf,,,,
avatar for Laurie Healy,2018,1,"Fueled CollectivePassionate about making sure workplaces are healthy places. Jumped into the MSP tech startup scene in 2000 and was instantly hooked. A certified fitness instructor, introduced wellness classes into the startups I worked for to help employees+founders deal with the stress that comes...Read More →",,MH + HR: Guiding mental health conversations at work,//avatars.sched.co/4/38/6028573/avatar.jpg?77e,,,,
avatar for Leah Meilander,2023,1,"MN. She's been in marketing for over 10 years, working with startups and small- to medium-sized businesses in industries from commercial banking and technology to nonprofits and specialty services. Leah likes to get engaged...Read More →",,Tap Into Your Creative Mind,//avatars.sched.co/b/c6/19179633/avatar.jpg?5a5,,,,
avatar for Lee Jones,2018,1,"RebiotixFounder, President and CEO of Rebiotix Inc, has over 30 years of experience in the medical technology industry in large and small companies and academia.  She cofounded Rebiotix in 2011.  Rebiotix is a clinical stage biotechnology company developing a new class of biologic drugs...Read More →",,Game Changers Track - MANOVA Global Summit on the Future of Health in Medical Al,//avatars.sched.co/a/3e/5955817/avatar.jpg?58b,,,,
avatar for Leilani Bloomquist,2023,4,"Leilani Bloomquist ConsultingLeilani Bloomquist is a Digital Transformation and Strategic consultant specializing in working within highly regulated industries and building high-performing teams. A change agent by nature, Leilani is a translator whose superpower is connecting people, processes, and technology...Read More →",,Finding and Building Community as an Entrepreneur; Finding and Building Community as an Entrepreneur; Finding and Building Community as an Entrepreneur,//avatars.sched.co/f/6a/19179641/avatar.jpg?a61,,,,
avatar for Lesley Solomon,2018,1,"Chief Innovation Officer at Dana-Farber. She works with industry, investors and Dana-Farber innovators to accelerate cancer therapies and improve care. Lesley develops strategies and collaborations to enhance research and patient care while also delivering...Read More →",,MANOVA Global Summit on the Future of Health in Medical Alley - Monday pass,//avatars.sched.co/d/f7/5955010/avatar.jpg?dec,,,,
avatar for Levi LaVallee,2018,1,Levi LaVallee is one of the most successful athletes in Winter X Games event history. He's one of only three winter event athletes to have won double-gold twice. Levi LaVallee made history when he became the first...Read More →,,The Power of Your Personal Brand - Red Bull Athlete and Artist Workshop & Tell-a,//avatars.sched.co/6/3f/6092014/avatar.jpg?7da,,,,
avatar for Lindsay St. Clair,2018,1,"branding, editorial, illustration and conceptual development. Her work is playful and colorful, often using abstract shapes and illustrations to create a feeling or vibe. She often explores...Read More →",,The Power of Your Personal Brand - Red Bull Athlete and Artist Workshop & Tell-a,//avatars.sched.co/5/53/6092059/avatar.jpg?1ff,,,,
avatar for Lisa Brezonik,2018,2,"Salo LLCLisa Brezonik is the Chief Operating Officer at Salo, LLC, a leader in driving business outcomes in finance, accounting and human resources by placing professionals on a project or interim basis, as well as finance accounting search services. Prior to Salo, Lisa owned her own executive...Read More → | investment banking and entrepreneurship experience. He founded, funded and eventually sold a global consumer products nutrition company. Additionally, Alexander has led the corporate development divisions for 2 Fortune 500 companies...Read More →",,When to Hire a CFO for your Fast-Growth Business; When to Hire a CFO for your Fast-Growth Business,//avatars.sched.co/2/ed/5912597/avatar.jpg?983,,,,
avatar for Lisa Crump,2018,1,Sofia Fund,,Office Hours with Sofia Fund *External Registration Required*,//avatars.sched.co/a/92/5915976/avatar.jpg?4b4,,,,
avatar for Lisa Holter Ankel,2018,1,"Avisen Legal, P.A.With over 20 years of experience as a business and transaction lawyer, Lisa serves as outside general counsel to a diverse base of private companies and as a lead dual counsel on private equity and other financing and M&A transactions.She partners with business owners, management, investors and corporate boards on start-up and organizational matters, M&A transactions, raising money, shareholder agreements, buy-outs and a variety of joint venture and other commercial transactions. As a deal lawyer, Lisa brings a...Read More →",,Minnesota Start-Up Darwin Lessons Part 2,//avatars.sched.co/b/0f/5916024/avatar.jpg?5c4,,,,
avatar for Livefront (Host),2018,1,,,Venture-Scale Apps: A Panel of MN's Funded Mobile-Centric Startups,//avatars.sched.co/e/d8/6168736/avatar.jpg?918,,,,
avatar for Liz Tupper,2018,1,"Software for GoodA self-proclaimed geek with almost two decades of technology experience, Liz Tupper is known for her leadership in the Minneapolis tech community—particularly when it comes to increasing opportunities for women in tech. Since beginning her career as a front-end developer, she has...Read More →",,Start Up Your App,//avatars.sched.co/9/49/5916000/avatar.jpg?a80,,,,
avatar for Lola Red (Co-Host),2018,1,,,The Power of Your Personal Brand - Red Bull Athlete and Artist Workshop & Tell-a,//avatars.sched.co/5/06/6331341/avatar.jpg?2b8,,,,
avatar for Lola Red (Host),2018,1,,,Lola Red Presents How Media is Changing,//avatars.sched.co/c/64/6168859/avatar.jpg?554,,,,
avatar for Lori Ryan,2023,1,"LorigniteLori Ryan, the founder of Lorignite, is on a mission to bring people together for critical conversations around artificial intelligence in our schools, communities, and businesses. Hailing from the TV news world in the Twin Cities Metro area, Lori not only steered the Fox 9 morning...Read More →",,Classroom Kickoff: ChatGPT Insights and Strategies for Back-to-School Success,//avatars.sched.co/5/f0/19215371/avatar.jpg?91a,,,,
avatar for Loukia Jessen,2018,1,Avionté,,Minimal Lovable Product,//avatars.sched.co/f/d6/5916020/avatar.jpg?aa2,,,,
avatar for Luis Moreno,2023,1,,,Leveraging Emotional Intelligence to Foster Human Centered Leadership,//avatars.sched.co/f/57/19180457/avatar.jpg?00f,,,,
avatar for Luke Vestrum,2023,2,Tempo by Clockwork,,Leading Adoption at the Speed of AI; Leading Adoption at the Speed of AI,https://graph.facebook.com/v17.0/10168401508890122/picture?width=400&height=400,,,,
avatar for Lunar Startup (Host),2018,2,,,"Diverse Thoughts, Inclusive Action - How to Change the Podcasting Landscape; Sharing the Story of Your Business - Is a Podcast the Right Marketing Move for Y",//avatars.sched.co/a/35/6169213/avatar.jpg?e91,,,,
avatar for M25 (Host),2018,1,,,"Good Morning, TCSW18!",//avatars.sched.co/9/8d/6078673/avatar.jpg?127,,,,
