timestamp,original,statuscode,mimetype,length,domain,filetype
20150702101636,http://twincitiesstartupweek.com/apple-touch-icon-72x72.png,200,image/png,4554,twincitiesstartupweek.com,jpg
20180708054243,https://twincitiesstartupweek.com/apple-touch-icon-72x72.png,200,image/png,4678,twincitiesstartupweek.com,jpg
20150702101632,http://twincitiesstartupweek.com/apple-touch-icon-76x76.png,200,image/png,5157,twincitiesstartupweek.com,jpg
20180708055936,https://twincitiesstartupweek.com/apple-touch-icon-76x76.png,200,image/png,5283,twincitiesstartupweek.com,jpg
20150702101730,http://twincitiesstartupweek.com/apple-touch-icon.png,200,image/png,3648,twincitiesstartupweek.com,jpg
20180708083621,https://twincitiesstartupweek.com/apple-touch-icon.png,200,image/png,3774,twincitiesstartupweek.com,jpg
20211013144642,https://www.twincitiesstartupweek.com/arts-culture,200,text/html,10570,twincitiesstartupweek.com,jpg
20210516053858,https://www.twincitiesstartupweek.com/en-us/resource-library,200,text/html,40143,twincitiesstartupweek.com,jpg
20221107210227,https://www.twincitiesstartupweek.com/en-us/resource-library-2022,200,text/html,17439,twincitiesstartupweek.com,jpg
20221109230658,https://www.twincitiesstartupweek.com/en-us/resource-library-2022?hss_channel=tw-1017844990804971520,200,text/html,17432,twincitiesstartupweek.com,jpg
20221109230644,https://www.twincitiesstartupweek.com/en-us/resource-library-2022?utm_content=227500401&utm_medium=social&utm_source=twitter&hss_channel=tw-1017844990804971520,200,text/html,17456,twincitiesstartupweek.com,jpg
20221107210032,https://www.twincitiesstartupweek.com/en-us/resource-library-2022?hss_channel=tw-2508348145,200,text/html,17470,twincitiesstartupweek.com,jpg
20221107210018,https://www.twincitiesstartupweek.com/en-us/resource-library-2022?utm_campaign=TCSW%202022%20Content&utm_content=227350314&utm_medium=social&utm_source=twitter&hss_channel=tw-2508348145,200,text/html,17499,twincitiesstartupweek.com,jpg
20201104160035,https://www.twincitiesstartupweek.com/en-us/resource-library-register-lg,200,text/html,8628,twincitiesstartupweek.com,jpg
20201113055029,https://www.twincitiesstartupweek.com/en-us/resource-library-register-lg?hss_channel=tw-1017844990804971520,200,text/html,6725,twincitiesstartupweek.com,jpg
20201113010034,https://www.twincitiesstartupweek.com/en-us/resource-library-register-lg?utm_content=145669028&utm_medium=social&utm_source=twitter&hss_channel=tw-1017844990804971520,200,text/html,6751,twincitiesstartupweek.com,jpg
20201109173828,https://www.twincitiesstartupweek.com/en-us/resource-library-register-lg?hss_channel=tw-2508348145,200,text/html,6860,twincitiesstartupweek.com,jpg
20201109173739,https://www.twincitiesstartupweek.com/en-us/resource-library-register-lg?utm_campaign=TCSW%202020&utm_content=145541975&utm_medium=social&utm_source=twitter&hss_channel=tw-2508348145,200,text/html,6896,twincitiesstartupweek.com,jpg
20140725104402,http://twincitiesstartupweek.com:80/,200,text/html,6000,twincitiesstartupweek.com,jpeg
20150215081945,http://twincitiesstartupweek.com/,200,text/html,2180,twincitiesstartupweek.com,jpeg
20150218041200,http://twincitiesstartupweek.com:80/,200,text/html,2030,twincitiesstartupweek.com,jpeg
20151218042715,http://twincitiesstartupweek.com/,200,text/html,4247,twincitiesstartupweek.com,jpeg
20151230153608,http://twincitiesstartupweek.com:80/,200,text/html,4098,twincitiesstartupweek.com,jpeg
20160111153708,http://twincitiesstartupweek.com/,200,text/html,4246,twincitiesstartupweek.com,jpeg
20160304012716,http://twincitiesstartupweek.com:80/,200,text/html,4102,twincitiesstartupweek.com,jpeg
20160311072322,http://twincitiesstartupweek.com/,200,text/html,4246,twincitiesstartupweek.com,jpeg
20160404111516,http://twincitiesstartupweek.com:80/,200,text/html,4095,twincitiesstartupweek.com,jpeg
20160612014448,http://twincitiesstartupweek.com/,200,text/html,3783,twincitiesstartupweek.com,jpeg
20160701183706,http://twincitiesstartupweek.com:80/?,200,text/html,3646,twincitiesstartupweek.com,jpeg
20160710104033,http://twincitiesstartupweek.com:80/,200,text/html,3642,twincitiesstartupweek.com,jpeg
20160712013819,http://twincitiesstartupweek.com/,200,text/html,3784,twincitiesstartupweek.com,jpeg
20160818021136,http://twincitiesstartupweek.com:80/,200,text/html,3645,twincitiesstartupweek.com,jpeg
20160821031623,http://twincitiesstartupweek.com:80/?,200,text/html,3648,twincitiesstartupweek.com,jpeg
